,username,date,content,preprocess_content,sentiment,sentiment_score
0,4928,2021-04-22,"This is the highest form of intimidation
What offence did they commit???
Give us answers!!!!

@UBACares @UBAFoundation @UBACares @TonyOElumelu @npf @davido @ViralTweets2020 @ENDSARS @HumansNigeria https://t.co/xxdTK0BmQB",highest form intimidation offence commit answers ubacares ubafoundation ubacares tonyoelumelu npf davido viraltweets2020 endsars humansnigeria,negative,0.9991119503974915
1,382,2021-04-22,"Why is it taking a life long time for @MBuhari to sack  @DrIsaPantami who we have a strong proof that his activities is related to terrorism @cenbank @endsars protesters account were frozen with the excuse that it's related to terrorism, why is @DrIsaPantami account still active?",taking life long time mbuhari sack drisapantami strong proof activities related terrorism cenbank endsars protesters account frozen excuse related terrorism drisapantami account active,negative,0.9992271661758423
2,5768,2021-04-22,"Even Desmond Elliot is quite , ,,, what is that woman's name again that look like jellof rice way red oil too much ,I men that woman that said they should stop social media during @endsars protest she is so quiet abi , https://t.co/RsVQ4N8LwM",desmond elliot womans look like jellof rice way red oil men woman said stop social media endsars protest quiet abi,negative,0.9958428740501404
3,1441,2021-04-22,"When will CBN freeze the account of @DrIsaPantami  ? CBN was quick to freeze d account of @endsars pple including @SavvyRinu  etc. On the ground that some were using cryptocurrency to finance terrorism, now the financier and advocate of it is here. What is the CBN waiting for? https://t.co/r3vxrbkLdn",cbn freeze account drisapantami cbn quick freeze d account endsars pple including savvyrinu etc ground cryptocurrency finance terrorism financier advocate cbn waiting,negative,0.963660717010498
4,4045,2021-04-22,"@Obiejazzyup @YeleSowore @MBuhari @EndSars @mbujari okay that is good one but the ESN should be well coordinated and work with SE states govt. so as to avoid self inflicting injuries. Islamizing Nigeria? It's not possible, please forget about that baseless assumption by some gullible.",obiejazzyup yelesowore mbuhari endsars mbujari okay good esn coordinated work se states govt avoid self inflicting injuries islamizing nigeria possible forget baseless assumption gullible,positive,0.8116447329521179
5,84,2021-04-22,We should allow policemen who are victims of injustice from public to appear @EndSars tribunal to get justice and be compensated too  d tribunals are one sided affair. https://t.co/EfyFw1wYTY,allow policemen victims injustice public appear endsars tribunal justice compensated d tribunals sided affair,negative,0.8963691592216492
6,2076,2021-04-21,"@MoyinoluwaVict4 @YeleSowore @MBuhari @EndSars @mbujari Mr Spokesman, okaree, this really shows your level of reasoning and cultured",moyinoluwavict4 yelesowore mbuhari endsars mbujari mr spokesman okaree shows level reasoning cultured,positive,0.9888732433319092
7,5961,2021-04-21,"@zeal_a @EuginhoCortez @YarKafanchan They have been attacking ordinary citizens for a long time, backed by the government, the attacked @endsars protesters... It's the government that gave touts legitimacy.",zeala euginhocortez yarkafanchan attacking ordinary citizens long time backed government attacked endsars protesters government gave touts legitimacy,negative,0.9992865920066833
8,3239,2021-04-21,"@YeleSowore @MBuhari @EndSars @mbujari Huuum, big nonsense, countineuty of insecurity, joblessness, farmine, corruption, embezzlement, bandits kidnapping, etc. Ho LORD have mercy on us.",yelesowore mbuhari endsars mbujari huuum big nonsense countineuty insecurity joblessness farmine corruption embezzlement bandits kidnapping etc ho lord mercy,negative,0.999437153339386
9,955,2021-04-21,"May it be known, may it be remembered that from 2015-2021 and still running, ""the major focus of the Nigerian government was on COWS"" AND NOT HER CITIZENS. @EndSars @Endbadgovernance @restructurenigeria",known remembered 20152021 running major focus nigerian government cows citizens endsars endbadgovernance restructurenigeria,positive,0.6420724987983704
10,561,2021-04-21,"@YeleSowore @MBuhari @EndSars @mbujari In this same Nigeria some terrorists are rehabilitated and granted amnesty,in this same Nigeria,govt negotiate with bandits. Drama",yelesowore mbuhari endsars mbujari nigeria terrorists rehabilitated granted amnestyin nigeriagovt negotiate bandits drama,negative,0.6486503481864929
11,6133,2021-04-21,"@YeleSowore @MBuhari @EndSars @mbujari Buhari should learn from what happened to late Chadian president who refuse to relinquish power and was killed by rebels.
Clueless Buhari should  resign now and let people with common sense and great ideas rule the country",yelesowore mbuhari endsars mbujari buhari learn happened late chadian president refuse relinquish power killed rebels clueless buhari resign let people common sense great ideas rule country,negative,0.9831464886665344
