,username,date,content,preprocess_content,sentiment,sentiment_score
0,hurbhiaghelee,2021-04-22 18:28:26+00:00,"This is the highest form of intimidation
What offence did they commit???
Give us answers!!!!

@UBACares @UBAFoundation @UBACares @TonyOElumelu @npf @davido @ViralTweets2020 @ENDSARS @HumansNigeria https://t.co/xxdTK0BmQB",highest form intimidation offence commit answers ubacares ubafoundation ubacares tonyoelumelu npf davido viraltweets2020 endsars humansnigeria,negative,0.9991119503974915
1,AlukoJoseph5,2021-04-22 15:07:05+00:00,"Why is it taking a life long time for @MBuhari to sack  @DrIsaPantami who we have a strong proof that his activities is related to terrorism @cenbank @endsars protesters account were frozen with the excuse that it's related to terrorism, why is @DrIsaPantami account still active?",taking life long time mbuhari sack drisapantami strong proof activities related terrorism cenbank endsars protesters account frozen excuse related terrorism drisapantami account active,negative,0.9992271661758423
2,omofuma_Elijah,2021-04-22 10:13:20+00:00,"Even Desmond Elliot is quite , ,,, what is that woman's name again that look like jellof rice way red oil too much ,I men that woman that said they should stop social media during @endsars protest she is so quiet abi , https://t.co/RsVQ4N8LwM",desmond elliot womans look like jellof rice way red oil men woman said stop social media endsars protest quiet abi,negative,0.9958428740501404
3,FelixOdohoedi,2021-04-22 09:48:04+00:00,"When will CBN freeze the account of @DrIsaPantami  ? CBN was quick to freeze d account of @endsars pple including @SavvyRinu  etc. On the ground that some were using cryptocurrency to finance terrorism, now the financier and advocate of it is here. What is the CBN waiting for? https://t.co/r3vxrbkLdn",cbn freeze account drisapantami cbn quick freeze d account endsars pple including savvyrinu etc ground cryptocurrency finance terrorism financier advocate cbn waiting,negative,0.963660717010498
4,adekzee1,2021-04-22 09:31:40+00:00,"@Obiejazzyup @YeleSowore @MBuhari @EndSars @mbujari okay that is good one but the ESN should be well coordinated and work with SE states govt. so as to avoid self inflicting injuries. Islamizing Nigeria? It's not possible, please forget about that baseless assumption by some gullible.",obiejazzyup yelesowore mbuhari endsars mbujari okay good esn coordinated work se states govt avoid self inflicting injuries islamizing nigeria possible forget baseless assumption gullible,positive,0.8116446733474731
5,AOkuntade,2021-04-22 06:05:09+00:00,We should allow policemen who are victims of injustice from public to appear @EndSars tribunal to get justice and be compensated too  d tribunals are one sided affair. https://t.co/EfyFw1wYTY,allow policemen victims injustice public appear endsars tribunal justice compensated d tribunals sided affair,negative,0.8963689804077148
6,KabiruGbadebo,2021-04-21 21:46:57+00:00,"@MoyinoluwaVict4 @YeleSowore @MBuhari @EndSars @mbujari Mr Spokesman, okaree, this really shows your level of reasoning and cultured",moyinoluwavict4 yelesowore mbuhari endsars mbujari mr spokesman okaree shows level reasoning cultured,positive,0.9888732433319092
7,real_clemzy,2021-04-21 15:33:24+00:00,"@zeal_a @EuginhoCortez @YarKafanchan They have been attacking ordinary citizens for a long time, backed by the government, the attacked @endsars protesters... It's the government that gave touts legitimacy.",zeala euginhocortez yarkafanchan attacking ordinary citizens long time backed government attacked endsars protesters government gave touts legitimacy,negative,0.9992864727973938
8,RichMoses19,2021-04-21 15:29:37+00:00,"@YeleSowore @MBuhari @EndSars @mbujari Huuum, big nonsense, countineuty of insecurity, joblessness, farmine, corruption, embezzlement, bandits kidnapping, etc. Ho LORD have mercy on us.",yelesowore mbuhari endsars mbujari huuum big nonsense countineuty insecurity joblessness farmine corruption embezzlement bandits kidnapping etc ho lord mercy,negative,0.999437153339386
9,CosmasOmosun,2021-04-21 10:50:30+00:00,"May it be known, may it be remembered that from 2015-2021 and still running, ""the major focus of the Nigerian government was on COWS"" AND NOT HER CITIZENS. @EndSars @Endbadgovernance @restructurenigeria",known remembered 20152021 running major focus nigerian government cows citizens endsars endbadgovernance restructurenigeria,positive,0.6420724987983704
10,BabaEnesi,2021-04-21 07:19:03+00:00,"@YeleSowore @MBuhari @EndSars @mbujari In this same Nigeria some terrorists are rehabilitated and granted amnesty,in this same Nigeria,govt negotiate with bandits. Drama",yelesowore mbuhari endsars mbujari nigeria terrorists rehabilitated granted amnestyin nigeriagovt negotiate bandits drama,negative,0.6486499905586243
11,solaren40359301,2021-04-21 04:41:13+00:00,"@YeleSowore @MBuhari @EndSars @mbujari Buhari should learn from what happened to late Chadian president who refuse to relinquish power and was killed by rebels.
Clueless Buhari should  resign now and let people with common sense and great ideas rule the country",yelesowore mbuhari endsars mbujari buhari learn happened late chadian president refuse relinquish power killed rebels clueless buhari resign let people common sense great ideas rule country,negative,0.983146607875824
12,peeonuoha,2021-04-20 17:38:16+00:00,"@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari And he Pampers the herdsmen, or are they not a terrorist group too?",babangidarimi1 yelesowore mbuhari endsars mbujari pampers herdsmen terrorist group,negative,0.9994251728057861
13,_BigDaddy01,2021-04-20 16:20:43+00:00,@Prince74143920 @YeleSowore @MBuhari @EndSars @mbujari just like your father.,prince74143920 yelesowore mbuhari endsars mbujari like father,positive,0.9809838533401489
14,tojelabi,2021-04-20 14:39:00+00:00,@YeleSowore @MBuhari @EndSars @mbujari And you looking for power and money,yelesowore mbuhari endsars mbujari looking power money,positive,0.9928202033042908
15,Iyke43084776,2021-04-20 14:16:58+00:00,"@YeleSowore @MBuhari @EndSars @mbujari Confirm terrorist, we should expect continuity of killing and hardship.",yelesowore mbuhari endsars mbujari confirm terrorist expect continuity killing hardship,negative,0.9950006604194641
16,savageanolee15,2021-04-20 11:42:52+00:00,@Nlechoppa1 Stay up forever real Geezer @Nlechoppa1 @Endsars #EndSARS #EndPoliceBrutalityinNigeria,nlechoppa1 stay forever real geezer nlechoppa1 endsars endsars endpolicebrutalityinnigeria,positive,0.8475215435028076
17,allen4thron,2021-04-20 09:36:07+00:00,@YeleSowore @MBuhari @EndSars @mbujari We're amugbo,yelesowore mbuhari endsars mbujari amugbo,negative,0.5226070284843445
18,DOyaleh,2021-04-20 07:16:04+00:00,"@YeleSowore @MBuhari @EndSars @mbujari Continuity of terrorism, lack and massive display of ineffective governance.",yelesowore mbuhari endsars mbujari continuity terrorism lack massive display ineffective governance,negative,0.9992626309394836
19,Prince74143920,2021-04-20 06:57:48+00:00,@_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari Again: BIG FOOL,bigdaddy01 yelesowore mbuhari endsars mbujari big fool,negative,0.9917598366737366
20,Sarki_official1,2021-04-20 05:19:01+00:00,"@MoyinoluwaVict4 @_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari What's ma? 
Is he your mother?  😂",moyinoluwavict4 bigdaddy01 yelesowore mbuhari endsars mbujari whats ma mother ,positive,0.9609049558639526
21,Sarki_official1,2021-04-20 05:18:22+00:00,"@juxcnote @bunmifasae @mcashwide @_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari You are pained by the 2019 election, breathe if you agree 😂",juxcnote bunmifasae mcashwide bigdaddy01 yelesowore mbuhari endsars mbujari pained 2019 election breathe agree ,positive,0.5431732535362244
22,Sarki_official1,2021-04-20 05:17:52+00:00,@mcashwide @_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari You are pained by the 2019 election breath if you agree 😂,mcashwide bigdaddy01 yelesowore mbuhari endsars mbujari pained 2019 election breath agree ,negative,0.532070517539978
23,OkaforChineduK3,2021-04-20 04:03:03+00:00,@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari What about brothers?,babangidarimi1 yelesowore mbuhari endsars mbujari brothers,positive,0.9226865172386169
24,Surltz_Da_6_4,2021-04-19 22:41:42+00:00,@YeleSowore @MBuhari @EndSars @mbujari What can we do?,yelesowore mbuhari endsars mbujari,negative,0.6848365664482117
25,EWokemezie,2021-04-19 20:51:02+00:00,@YeleSowore @MBuhari @EndSars @mbujari Nigeria won't be handed over to you with this type of rascality. You may need to try other means!,yelesowore mbuhari endsars mbujari nigeria wont handed type rascality need try means,negative,0.9830600619316101
26,nweketheophilu3,2021-04-19 18:32:11+00:00,@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari That's why you are a fool!,babangidarimi1 yelesowore mbuhari endsars mbujari thats fool,negative,0.9942820072174072
27,MoyinoluwaVict4,2021-04-19 18:10:14+00:00,@_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari You will later pity that man bcus it's in Bible don't destroy your brother but he did not listen he has chosen his own way of destroying others with lies and fake write ups,bigdaddy01 yelesowore mbuhari endsars mbujari later pity man bcus bible dont destroy brother listen chosen way destroying lies fake write ups,negative,0.9662578105926514
